,Date,SPI Type,value
0,2019-01,1,-0.525404329309879
1,2020-01,1,-0.19206534889944626
2,2021-01,1,-0.4253812826094167
3,2022-01,1,-0.6141460766388114
4,2023-01,1,1.1004297623893509
5,2019-02,1,0.49374016512955227
6,2020-02,1,-0.3490174705415162
7,2021-02,1,-0.07459921632130112
8,2022-02,1,-0.6724007904037355
9,2023-02,1,-0.14548597835020918
10,2019-03,1,0.34020521777328344
11,2020-03,1,0.15428090474120892
12,2021-03,1,0.5216293511140004
13,2022-03,1,-0.7347986924860908
14,2023-03,1,-0.33004044465209076
15,2019-04,1,-0.03807429240041218
16,2020-04,1,-1.1846737456901484
17,2021-04,1,-0.8141295858599233
18,2022-04,1,-0.0948264054068933
19,2023-04,1,-1.3364819305167766
20,2019-05,1,0.7968295664960853
21,2020-05,1,0.09328983692965391
22,2021-05,1,-0.014351405860936908
23,2022-05,1,-0.07165160381926519
24,2023-05,1,0.6024301452537085
25,2019-06,1,0.053968375677247014
26,2020-06,1,-0.3145556891955791
27,2021-06,1,-1.3005371109713073
28,2022-06,1,-0.8373882667430301
29,2023-06,1,0.3382440206562771
30,2019-07,1,0.8318398572687378
31,2020-07,1,0.31040055199309297
32,2021-07,1,-0.5587404058391514
33,2022-07,1,0.26079566268493437
34,2023-07,1,0.13060747322508123
35,2019-08,1,1.4611209990430305
36,2020-08,1,-1.2576213232273858
37,2021-08,1,0.14546435232262528
38,2022-08,1,-1.0329136376613544
39,2023-08,1,0.38690838634066
40,2019-09,1,0.9593639441266584
41,2020-09,1,-0.6772580197222174
42,2021-09,1,-0.22886650731464833
43,2022-09,1,-0.5793915405444496
44,2023-09,1,0.45131935131388434
45,2019-10,1,-0.030254837650589617
46,2020-10,1,-0.23979492505988298
47,2021-10,1,0.4466145239777568
48,2022-10,1,-0.34925045241007474
49,2023-10,1,0.9322397328712846
50,2019-11,1,0.6667272198128084
51,2020-11,1,-0.21976780715564723
52,2021-11,1,-0.7689625568412148
53,2022-11,1,-0.2156697099802337
54,2023-11,1,-0.37880303044926245
55,2019-12,1,0.32221532773805234
56,2020-12,1,-0.2756997731477578
57,2021-12,1,-0.012335142798930977
58,2022-12,1,1.1317208854384175
59,2023-12,1,0.10652281111780111
60,2019-01,2,0.4279817305292871
61,2020-01,2,0.06564854968278473
62,2021-01,2,-0.5647782911915651
63,2022-01,2,-0.37364068521030286
64,2023-01,2,1.4549120536267994
65,2019-02,2,-0.02506675412287293
66,2020-02,2,-0.47244977411797895
67,2021-02,2,-0.36133355372125153
68,2022-02,2,-0.9849809957158333
69,2023-02,2,0.721475152806903
70,2019-03,2,0.8243493247301851
71,2020-03,2,0.0010450553494851641
72,2021-03,2,0.4345808634747028
73,2022-03,2,-1.088411039084902
74,2023-03,2,-0.4436847139226395
75,2019-04,2,0.2861033035123438
76,2020-04,2,-0.8166143399350331
77,2021-04,2,-0.13203851744507444
78,2022-04,2,-0.46145392119864226
79,2023-04,2,-1.2938092305316746
80,2019-05,2,0.6501986057607058
81,2020-05,2,-0.5774499733924693
82,2021-05,2,-0.49285228913533236
83,2022-05,2,-0.16694127859870148
84,2023-05,2,-0.056710702375379805
85,2019-06,2,0.6845781125319168
86,2020-06,2,-0.17756544882482894
87,2021-06,2,-0.8785055027546687
88,2022-06,2,-0.5534287758569483
89,2023-06,2,0.5855594888101152
90,2019-07,2,0.5387155080977214
91,2020-07,2,-0.023754204023668648
92,2021-07,2,-1.293534905878101
93,2022-07,2,-0.3904269983612183
94,2023-07,2,0.296615688633507
95,2019-08,2,1.600164335071453
96,2020-08,2,-0.4792751580641968
97,2021-08,2,-0.30473450210221725
98,2022-08,2,-0.4469444884232829
99,2023-08,2,0.33326621829372943
100,2019-09,2,1.648860579170532
101,2020-09,2,-1.3734461847444737
102,2021-09,2,0.0196171846083898
103,2022-09,2,-1.176676479564432
104,2023-09,2,0.4752746990378423
105,2019-10,2,0.7098435388724904
106,2020-10,2,-0.7299430867328057
107,2021-10,2,0.12006226915034406
108,2022-10,2,-0.7368636372553132
109,2023-10,2,0.8069956668289745
110,2019-11,2,0.22191164643025732
111,2020-11,2,-0.3239377658754591
112,2021-11,2,0.0324687676662762
113,2022-11,2,-0.4803679691778374
114,2023-11,2,0.6638111534228645
115,2019-12,2,0.6240090071185812
116,2020-12,2,-0.40960596884211514
117,2021-12,2,-0.6514701024122381
118,2022-12,2,0.5741507212649014
119,2023-12,2,-0.26675465491403827
120,2019-01,3,0.6643814867489402
121,2020-01,3,0.38130692142856437
122,2021-01,3,-0.6049250217327796
123,2022-01,3,-0.8302095960375678
124,2023-01,3,1.0871646476858434
125,2019-02,3,0.5965715673058654
126,2020-02,3,-0.1549721579301966
127,2021-02,3,-0.5827447802035778
128,2022-02,3,-0.8022706852857054
129,2023-02,3,1.243525752324541
130,2019-03,3,0.6232299201187674
131,2020-03,3,-0.12632852321614438
132,2021-03,3,0.3314473607118595
133,2022-03,3,-1.3105481613806107
134,2023-03,3,0.1531407154478052
135,2019-04,3,0.47427341518056015
136,2020-04,3,-0.8747784055128834
137,2021-04,3,-0.1656446469764496
138,2022-04,3,-0.6122280359546636
139,2023-04,3,-1.2711443976253334
140,2019-05,3,0.7583185846704088
141,2020-05,3,-0.4851846219353276
142,2021-05,3,-0.07145816039781601
143,2022-05,3,-0.3844454780806809
144,2023-05,3,-0.2035288271840142
145,2019-06,3,0.5569981986701266
146,2020-06,3,-0.6304140313773492
147,2021-06,3,-1.1524608173552773
148,2022-06,3,-0.5489217913021706
149,2023-06,3,0.09177794468920605
150,2019-07,3,0.9026199923187352
151,2020-07,3,-0.006392634709403706
152,2021-07,3,-0.9959629077793856
153,2022-07,3,-0.3431948654733953
154,2023-07,3,0.5325190491926648
155,2019-08,3,1.0693043264661994
156,2020-08,3,-0.5378795053393454
157,2021-08,3,-0.9750078404067672
158,2022-08,3,-0.845867674631667
159,2023-08,3,0.4042071736842757
160,2019-09,3,1.8623124537253624
161,2020-09,3,-0.7933593179362693
162,2021-09,3,-0.37419179692471427
163,2022-09,3,-0.7057730593763765
164,2023-09,3,0.4408275289401797
165,2019-10,3,1.3874433731758677
166,2020-10,3,-1.237768270181298
167,2021-10,3,0.19382013427647155
168,2022-10,3,-1.1647283031606837
169,2023-10,3,0.7793483375717983
170,2019-11,3,0.8054051380181598
171,2020-11,3,-0.769577407374623
172,2021-11,3,-0.11476810580393122
173,2022-11,3,-0.7846513470031262
174,2023-11,3,0.658617676222974
175,2019-12,3,0.24964019926159342
176,2020-12,3,-0.47558718611695133
177,2021-12,3,-0.009595008819749156
178,2022-12,3,0.017663559312490203
179,2023-12,3,0.5875920443988875
